id,grams,hours
2x2_h1,100.09,4.06027778
2x2_h2,161.61,6.63
2x3_h1,148.79,5.37222223
2x4_h1,192.53,6.27648148
2x4_h2,254.83,10.585
2x5_h1,229.19,8.44277778
2x6_h2,351.57,14.17222222
3x1_h1,85.41,3.73388889
3x2_h1,141.72,5.62898148
3x3_h1,191.16,7.08472222
3x3_h2,287.3,12.02833333
3x4_h2,354.34,14.4225
3x4_mini_1,250.91,9.40208333
3x4_mini_2,275.59,10.53416666
3x5_h1,292.19,10.86126263
3x5_h2,455.56,19.42481482
3x5_stacked,430.11,13.92511111
3x6_h1,339.65,12.42916667
3x6_h2,513.99,21.92333333
3x7_h2,565.77,21.81416667
4x1_h1,115.31,4.55611111
4x2_h1,191.88,6.77111111
4x2_h2,297.12,11.62666667
4x3_h1,274.91,8.89861111
4x3_h2,400.92,14.41972222
4x4_h1,350.92,10.33222222
4x4_h2,488.31,18.42138889
4x4_mini,399.71,12.36166666
4x5_h1,374.75,12.58606481
4x5_h2,540.65,20.94138889
4x6_h1,481.48,15.72520833
4x6_h2,652.96,26.65791667
4x7_h2,705.18,26.61861112
5x1_h1,139.71,5.53583333
5x2_h1,230.85,8.73416667
5x2_h2,360.35,15.49916667
5x3_h1,317.94,11.54791667
5x3_h2,457.51,18.605
5x4_h1,402.41,14.33180555
5x4_h2,582.77,20.31277777
5x5_h1,483.88,16.92416667
5x5_h2,643.58,24.95916667
5x6_h1,575.79,20.00200001
5x6_h2,763.34,31.21333334
5x6_stacked,808.92,26.53944444
5x7_h2,809.42,28.95305556
6x1_h1,169.2,6.46194444
6x2_h1,288.59,10.05740741
6x3_h1,382.63,13.12222222
6x3_h2,532.36,20.76222222
6x4_h1,490.33,18.11187501
6x4_h2,644.85,24.98305556
6x5_h1,581.42,18.49888889
6x6_h1,682.36,21.23805556
6x6_h2,942.25,38.26256945
baseplate_2x2,19.24,0.75333333
baseplate_2x3,28.36,1.04305556
baseplate_2x4,37.45,1.33305556
baseplate_2x5,46.62,1.62472222
baseplate_2x6,55.72,1.915
baseplate_3x3,41.81,1.47194444
baseplate_3x4,55.3,1.89805556
baseplate_3x5,68.78,2.32944444
baseplate_3x6,82.24,2.75555556
baseplate_4x4,73.21,2.46638889
baseplate_4x5,90.95,3.03
baseplate_4x6,108.85,3.59416667
baseplate_5x5,113.19,3.73777778
baseplate_5x6,135.43,4.43888889
